,song_title,lyric_pair
104,The World at Large,"Well I float on, maybe would you understand? || Gonna float on, maybe would you understand?"
105,The World at Large,"Gonna float on, maybe would you understand? || Well I float on, maybe would you understand?"
106,The World at Large,"Well I float on, maybe would you understand? || The days get shorter and the nights get cold"
107,The World at Large,The days get shorter and the nights get cold || I like the autumn but this place is getting old
108,The World at Large,I like the autumn but this place is getting old || I pack up my belongings and I head for the coast
109,The World at Large,"I pack up my belongings and I head for the coast || It might not be a lot, but I feel like I'm making the most"
110,The World at Large,"It might not be a lot, but I feel like I'm making the most || The days get longer and the nights smell green"
111,The World at Large,"The days get longer and the nights smell green || I guess it's not surprising, but it's spring and I should leave"
112,The World at Large,"I guess it's not surprising, but it's spring and I should leave || I like songs about drifters, books about the same"
113,The World at Large,"I like songs about drifters, books about the same || They both seem to make me feel a little less insane"
114,The World at Large,They both seem to make me feel a little less insane || Walked on off to another spot
115,The World at Large,Walked on off to another spot || I still haven't gotten anywhere that I want
116,The World at Large,I still haven't gotten anywhere that I want || Did I want love? Did I need to know?
117,The World at Large,Did I want love? Did I need to know? || Why does it always feel like I'm caught in an undertow?
118,The World at Large,Why does it always feel like I'm caught in an undertow? || The moths beat themselves to death against the lights
119,The World at Large,The moths beat themselves to death against the lights || Adding their breeze to the summer nights
120,The World at Large,"Adding their breeze to the summer nights || Outside, water, like air, was gray"
121,The World at Large,"Outside, water, like air, was gray || I didn't know what I had that day"
122,The World at Large,I didn't know what I had that day || Walk a little farther to another plan
123,The World at Large,"Walk a little farther to another plan || You said that you did, but you didn't understand"
124,The World at Large,"You said that you did, but you didn't understand || I know that starting over's not what life's about"
125,The World at Large,I know that starting over's not what life's about || But my thoughts were so loud I couldn't hear my mouth
126,The World at Large,But my thoughts were so loud I couldn't hear my mouth || My thoughts were so loud I couldn't hear my mouth
127,The World at Large,My thoughts were so loud I couldn't hear my mouth || My thoughts were so loud
128,Dramamine,"Travelling, swallowing Dramamine || Feeling spaced, breathing out Listerine"
129,Dramamine,"Feeling spaced, breathing out Listerine || I'd said what I'd said, that I'd tell ya"
130,Dramamine,"I'd said what I'd said, that I'd tell ya || And that you'd killed the better part of me"
131,Dramamine,And that you'd killed the better part of me || If you could just milk it for everything
132,Dramamine,"If you could just milk it for everything || I've said what I'd said, and you know what I mean"
133,Dramamine,"I've said what I'd said, and you know what I mean || But I still can't focus on anything"
134,Dramamine,But I still can't focus on anything || We kiss on the mouth but still cough down our sleeves
135,Dramamine,"We kiss on the mouth but still cough down our sleeves || Travelling, swallowing Dramamine"
136,Dramamine,"Travelling, swallowing Dramamine || Look at your face like you're killed in a dream"
137,Dramamine,Look at your face like you're killed in a dream || And you think you've figured out everything
138,Dramamine,And you think you've figured out everything || I think I know my geography pretty damn well
139,Dramamine,I think I know my geography pretty damn well || You say what you need so you'll get more
140,Dramamine,You say what you need so you'll get more || If you could just milk it for everything
141,Dramamine,"If you could just milk it for everything || I've said what I said, and you know what I mean"
142,Dramamine,"I've said what I said, and you know what I mean || But I still can't focus on anything"
143,Bukowski,"Woke up this morning, and it seemed to me || That every night turns out to be"
144,Bukowski,That every night turns out to be || A little bit more like Bukowski
145,Bukowski,"A little bit more like Bukowski || And yeah, I know he's a pretty good read"
146,Bukowski,"And yeah, I know he's a pretty good read || But God, who'd wanna be"
147,Bukowski,"But God, who'd wanna be || God, who'd wanna be such an asshole?"
148,Bukowski,"God, who'd wanna be such an asshole? || God, who'd wanna be"
149,Bukowski,"God, who'd wanna be || God, who'd wanna be such an asshole?"
150,Bukowski,"God, who'd wanna be such an asshole? || Well, we sat on the edge of the river"
151,Bukowski,"Well, we sat on the edge of the river || The crowd screamed, ""Sacrifice the liver!"""
152,Bukowski,"The crowd screamed, ""Sacrifice the liver!"" || If God takes life, he's an Indian giver"
153,Bukowski,"If God takes life, he's an Indian giver || So tell me now why, you'll tell me never"
154,Bukowski,"So tell me now why, you'll tell me never || Who would wanna be"
155,Bukowski,Who would wanna be || Who would wanna be such a control freak?
156,Bukowski,"Who would wanna be such a control freak? || Well, who would wanna be"
157,Bukowski,"Well, who would wanna be || Who would wanna be such a control freak?"
158,Bukowski,"Who would wanna be such a control freak? || Well, see what you want to see"
159,Bukowski,"Well, see what you want to see || You should see it all"
160,Bukowski,"You should see it all || Well, take what you want from me"
161,Bukowski,"Well, take what you want from me || You deserve it all"
162,Bukowski,You deserve it all || Nine times out of ten
163,Bukowski,Nine times out of ten || Our hearts just get dissolved
164,Bukowski,"Our hearts just get dissolved || Well, I want a better place"
165,Bukowski,"Well, I want a better place || Or just a better way to fall"
166,Bukowski,Or just a better way to fall || But one time out of ten
167,Bukowski,But one time out of ten || Everything goes perfect for us all
168,Bukowski,"Everything goes perfect for us all || Well, I want a better place"
169,Bukowski,"Well, I want a better place || Or just a better way to fall"
170,Bukowski,Or just a better way to fall || Here we go
171,Bukowski,Here we go || If God controls the land and disease
172,Bukowski,If God controls the land and disease || And keeps a watchful eye on me
173,Bukowski,And keeps a watchful eye on me || If he's really so damn mighty
174,Bukowski,"If he's really so damn mighty || Well, my problem is I can't see"
175,Bukowski,"Well, my problem is I can't see || Well, who would wanna be"
176,Bukowski,"Well, who would wanna be || Who would wanna be such a control freak?"
177,Bukowski,"Who would wanna be such a control freak? || Well, who would wanna be"
178,Bukowski,"Well, who would wanna be || Who would wanna be such a control freak?"
179,Bukowski,Who would wanna be such a control freak? || Evil home stereo
180,Bukowski,Evil home stereo || What good songs do you know?
181,Bukowski,"What good songs do you know? || Evil me, oh yeah, I know"
182,Bukowski,"Evil me, oh yeah, I know || What good curves can you throw?"
183,Bukowski,"What good curves can you throw? || Well, all that icing and all that cake"
184,Bukowski,"Well, all that icing and all that cake || I can't make it to your wedding"
185,Bukowski,I can't make it to your wedding || But I'm sure I'll be at your wake
186,Bukowski,"But I'm sure I'll be at your wake || You were talk, talk, talk, talkin' in circles that day"
187,Bukowski,"You were talk, talk, talk, talkin' in circles that day || When you get to the point"
188,Bukowski,"When you get to the point || Make sure that I'm still awake, okay?"
189,Bukowski,"Make sure that I'm still awake, okay? || I went to bed and didn't see"
190,Bukowski,I went to bed and didn't see || Why every day turns out to be
191,Bukowski,Why every day turns out to be || A little bit more like Bukowski
192,Bukowski,"A little bit more like Bukowski || And yeah, I know he's a pretty good read"
193,Bukowski,"And yeah, I know he's a pretty good read || But God who'd wanna be"
194,Bukowski,"But God who'd wanna be || God, who'd wanna be such an asshole?"
195,Bukowski,"God, who'd wanna be such an asshole? || I fucked up the last line"
196,Ocean Breathes Salty,"Your body may be gone, I'm gonna carry you in || In my head, in my heart, in my soul"
197,Ocean Breathes Salty,"In my head, in my heart, in my soul || And maybe we'll get lucky and we'll both live again"
198,Ocean Breathes Salty,"And maybe we'll get lucky and we'll both live again || Well, I don't know, I don't know"
199,Ocean Breathes Salty,"Well, I don't know, I don't know || I don't know, don't think so"
200,Ocean Breathes Salty,"I don't know, don't think so || Well, that is that and this is this"
201,Ocean Breathes Salty,"Well, that is that and this is this || You tell me what you want and I'll tell you what you get"
202,Ocean Breathes Salty,"You tell me what you want and I'll tell you what you get || You get away from me, you get away from me"
203,Ocean Breathes Salty,"You get away from me, you get away from me || Collected my belongings and I left the jail"
204,Ocean Breathes Salty,"Collected my belongings and I left the jail || Well, thanks for the time, I needed to think a spell"
205,Ocean Breathes Salty,"Well, thanks for the time, I needed to think a spell || I had to think awhile, I had to think awhile"
206,Ocean Breathes Salty,"I had to think awhile, I had to think awhile || The ocean breathes salty, won't you carry it in?"
207,Ocean Breathes Salty,"The ocean breathes salty, won't you carry it in? || In your head, in your mouth, in your soul"
208,Ocean Breathes Salty,"In your head, in your mouth, in your soul || And maybe we'll get lucky and we'll both grow old"
209,Ocean Breathes Salty,"And maybe we'll get lucky and we'll both grow old || Well I don't know, I don't know"
210,Ocean Breathes Salty,"Well I don't know, I don't know || I don't know, I hope so"
211,Ocean Breathes Salty,"I don't know, I hope so || Well, that is that and this is this"
212,Ocean Breathes Salty,"Well, that is that and this is this || You tell me what you want and I'll tell you what you get"
213,Ocean Breathes Salty,"You tell me what you want and I'll tell you what you get || You get away from me, you get away from me"
214,Ocean Breathes Salty,"You get away from me, you get away from me || Collected my belongings and I left the jail"
215,Ocean Breathes Salty,"Collected my belongings and I left the jail || Well, thanks for the time, I needed to think a spell"
216,Ocean Breathes Salty,"Well, thanks for the time, I needed to think a spell || I had to think awhile, I had to think awhile"
217,Ocean Breathes Salty,"I had to think awhile, I had to think awhile || Well, that is that and this is this"
218,Ocean Breathes Salty,"Well, that is that and this is this || Will you tell me what you saw, and I'll tell you what you missed"
219,Ocean Breathes Salty,"Will you tell me what you saw, and I'll tell you what you missed || When the ocean met the sky You missed"
220,Ocean Breathes Salty,When the ocean met the sky You missed || You missed when time and life shook hands and said goodbye
221,Ocean Breathes Salty,You missed when time and life shook hands and said goodbye || You missed
222,Ocean Breathes Salty,You missed || When the Earth folded in on itself You missed
223,Ocean Breathes Salty,"When the Earth folded in on itself You missed || And said ""Good luck, for your sake I hope Heaven and Hell"
224,Ocean Breathes Salty,"And said ""Good luck, for your sake I hope Heaven and Hell || You missed, you missed"
225,Ocean Breathes Salty,"You missed, you missed || Are really there, but I wouldn't hold my breath"""
226,Ocean Breathes Salty,"Are really there, but I wouldn't hold my breath"" || You missed, you missed"
227,Ocean Breathes Salty,"You missed, you missed || You wasted life, why wouldn't you waste death?"
228,Ocean Breathes Salty,"You wasted life, why wouldn't you waste death? || You missed, you missed"
229,Ocean Breathes Salty,"You missed, you missed || You wasted life, why wouldn't you waste death?"
230,Ocean Breathes Salty,"You wasted life, why wouldn't you waste death? || The ocean breathes salty, won't you carry it in?"
231,Ocean Breathes Salty,"The ocean breathes salty, won't you carry it in? || In your head, in your mouth, in your soul"
232,Ocean Breathes Salty,"In your head, in your mouth, in your soul || The more we move ahead the more we're stuck in rewind"
233,Ocean Breathes Salty,"The more we move ahead the more we're stuck in rewind || Well, I don't mind, I don't mind"
234,Ocean Breathes Salty,"Well, I don't mind, I don't mind || How the hell could I mind?"
235,Ocean Breathes Salty,"How the hell could I mind? || Well, that is that and this is this"
236,Ocean Breathes Salty,"Well, that is that and this is this || You tell me what you want and I'll tell you what you get"
237,Ocean Breathes Salty,"You tell me what you want and I'll tell you what you get || You get away from me, you get away from me"
238,Ocean Breathes Salty,"You get away from me, you get away from me || Well, that is that and this is this"
239,Ocean Breathes Salty,"Well, that is that and this is this || Will you tell me what you saw and I'll tell you what you missed"
240,Ocean Breathes Salty,Will you tell me what you saw and I'll tell you what you missed || When the ocean met the sky You missed
241,Ocean Breathes Salty,"When the ocean met the sky You missed || You wasted life, why wouldn't you waste the afterlife?"
242,Trailer Trash,"Eating snowflakes with plastic forks || And a paper plate, of course"
243,Trailer Trash,"And a paper plate, of course || You think of everything"
244,Trailer Trash,You think of everything || Short love with a long divorce
245,Trailer Trash,"Short love with a long divorce || And a couple of kids, of course"
246,Trailer Trash,"And a couple of kids, of course || They don't mean anything"
247,Trailer Trash,They don't mean anything || Live in trailers with no class
248,Trailer Trash,"Live in trailers with no class || Goddamn, I hope I can pass"
249,Trailer Trash,"Goddamn, I hope I can pass || High school means nothing"
250,Trailer Trash,High school means nothing || Taking heartache with hard work
251,Trailer Trash,"Taking heartache with hard work || Goddamn, I am such a jerk"
252,Trailer Trash,"Goddamn, I am such a jerk || I can't do anything"
253,Trailer Trash,I can't do anything || And I shout that you're all fakes Fakes
254,Trailer Trash,And I shout that you're all fakes Fakes || And you should've seen the look on your face
255,Trailer Trash,And you should've seen the look on your face || And I guess that's what it takes
256,Trailer Trash,And I guess that's what it takes || When comparing your bellyaches
257,Trailer Trash,When comparing your bellyaches || And it's been a long time
258,Trailer Trash,And it's been a long time || Which agrees with this watch of mine
259,Trailer Trash,Which agrees with this watch of mine || And I know that I miss you
260,Trailer Trash,And I know that I miss you || And I'm sorry if I dissed you
261,Trailer Trash,And I'm sorry if I dissed you || Eating snowflakes with plastic forks
262,Trailer Trash,"Eating snowflakes with plastic forks || And a paper plate, of course"
263,Trailer Trash,"And a paper plate, of course || You think of everything"
264,Trailer Trash,You think of everything || Short love with a long divorce
265,Trailer Trash,"Short love with a long divorce || And a couple of kids, of course"
266,Trailer Trash,"And a couple of kids, of course || They don't mean anything"
267,Trailer Trash,They don't mean anything || Live in trailers with no class
268,Trailer Trash,"Live in trailers with no class || Goddamn, I hope I can pass"
269,Trailer Trash,"Goddamn, I hope I can pass || High school means nothing"
270,Trailer Trash,High school means nothing || Taking heartache with hard work
271,Trailer Trash,"Taking heartache with hard work || Goddamn, I am such a jerk"
272,Trailer Trash,"Goddamn, I am such a jerk || I can't do anything"
273,Trailer Trash,I can't do anything || And I shout that you're all fakes Fakes
274,Trailer Trash,And I shout that you're all fakes Fakes || And you should've seen the look on your face
275,Trailer Trash,And you should've seen the look on your face || And I guess that's what it takes
276,Trailer Trash,And I guess that's what it takes || When comparing your bellyaches
277,Trailer Trash,When comparing your bellyaches || And it's been a long time
278,Trailer Trash,And it's been a long time || Which agrees with this watch of mine
279,Trailer Trash,Which agrees with this watch of mine || And I guess that I miss you
280,Trailer Trash,And I guess that I miss you || And I'm sorry if I dissed you
281,Edit the Sad Parts,Sometimes all I really want to feel is love || Sometimes I'm angry that I feel so angry
282,Edit the Sad Parts,Sometimes I'm angry that I feel so angry || Sometimes my feelings get in the way
283,Edit the Sad Parts,Sometimes my feelings get in the way || Of what I really feel I needed to say
284,Edit the Sad Parts,Of what I really feel I needed to say || If you sit in a circle
285,Edit the Sad Parts,If you sit in a circle || Then you'll all have a back to bite
286,Edit the Sad Parts,Then you'll all have a back to bite || Backlogged books on the seven wonders
287,Edit the Sad Parts,Backlogged books on the seven wonders || We're all so funny but he's lost the joke now
288,Edit the Sad Parts,We're all so funny but he's lost the joke now || Our communications come in one lined jokes
289,Edit the Sad Parts,Our communications come in one lined jokes || From stand up comics and rock musicians
290,Edit the Sad Parts,From stand up comics and rock musicians || Making so much noise you don't know when to listen
291,Edit the Sad Parts,Making so much noise you don't know when to listen || Why are you judging people so damn hard?
292,Edit the Sad Parts,Why are you judging people so damn hard? || You're taking your point of views a bit too far
293,Edit the Sad Parts,You're taking your point of views a bit too far || I made my shoes shine with black coal
294,Edit the Sad Parts,I made my shoes shine with black coal || But the polish didn't shine the hole
295,Edit the Sad Parts,But the polish didn't shine the hole || If you sit in a circle
296,Edit the Sad Parts,If you sit in a circle || Then you'll all have a back to bite
297,Edit the Sad Parts,Then you'll all have a back to bite || Backlogged books on the seven wonders
298,Edit the Sad Parts,Backlogged books on the seven wonders || We're all so funny but he's lost the joke now
299,Edit the Sad Parts,We're all so funny but he's lost the joke now || Our communications come in one lined jokes
300,Edit the Sad Parts,Our communications come in one lined jokes || From stand up comics and rock musicians
301,Edit the Sad Parts,From stand up comics and rock musicians || Making so much noise you don't know when to listen
302,Edit the Sad Parts,Making so much noise you don't know when to listen || Think it over
303,Edit the Sad Parts,Think it over || There's the air of the height of the high-rollers
304,Edit the Sad Parts,There's the air of the height of the high-rollers || Think it over
305,Edit the Sad Parts,Think it over || You ain't got nothing until you know her
306,Teeth Like God’s Shoeshine,"From the top of the ocean, yeah || From the bottom of the sky, goddamn"
307,Teeth Like God’s Shoeshine,"From the bottom of the sky, goddamn || Well, I get claustrophobic"
308,Teeth Like God’s Shoeshine,"Well, I get claustrophobic || I can, you know that I can, well"
309,Teeth Like God’s Shoeshine,"I can, you know that I can, well || From the top of the ocean, yeah"
310,Teeth Like God’s Shoeshine,"From the top of the ocean, yeah || From the bottom of the sky, goddamn"
311,Teeth Like God’s Shoeshine,"From the bottom of the sky, goddamn || Well, I get claustrophobic"
312,Teeth Like God’s Shoeshine,"Well, I get claustrophobic || I can, you know that I can"
313,Teeth Like God’s Shoeshine,"I can, you know that I can || And he said"
314,Teeth Like God’s Shoeshine,"And he said || ""I am not allowed much danger"
315,Teeth Like God’s Shoeshine,"""I am not allowed much danger || Keep in line, you're an old friend, stranger"
316,Teeth Like God’s Shoeshine,"Keep in line, you're an old friend, stranger || You'll burn me in effigy and I'll burn you in effigy"""
317,Teeth Like God’s Shoeshine,"You'll burn me in effigy and I'll burn you in effigy"" || Well, a rattlesnake up in Buffalo, Montana"
318,Teeth Like God’s Shoeshine,"Well, a rattlesnake up in Buffalo, Montana || He bit the leg of the old sheriff"
319,Teeth Like God’s Shoeshine,"He bit the leg of the old sheriff || Ha, that boy fell down on his harelip—Oh, oh"
320,Teeth Like God’s Shoeshine,"Ha, that boy fell down on his harelip—Oh, oh || Well I, I might be wrong"
321,Teeth Like God’s Shoeshine,"Well I, I might be wrong || But you, you tag along"
322,Teeth Like God’s Shoeshine,"But you, you tag along || And we, we've all been wronged"
323,Teeth Like God’s Shoeshine,"And we, we've all been wronged || And I feel dizzier by the mile"
324,Teeth Like God’s Shoeshine,"And I feel dizzier by the mile || Said, ""Hell yeah, the money's spent"""
325,Teeth Like God’s Shoeshine,"Said, ""Hell yeah, the money's spent"" || Went to the county line and paid the rent"
326,Teeth Like God’s Shoeshine,"Went to the county line and paid the rent || I said, ""Uh-oh"", I said ""Uh-oh"""
327,Teeth Like God’s Shoeshine,"I said, ""Uh-oh"", I said ""Uh-oh"" || Oh, if you could compact your conscience"
328,Teeth Like God’s Shoeshine,"Oh, if you could compact your conscience || Oh, and you might"
329,Teeth Like God’s Shoeshine,"Oh, and you might || Oh, if you could bottle and sell it, you might have done"
330,Teeth Like God’s Shoeshine,"Oh, if you could bottle and sell it, you might have done || Oh, and you might"
331,Teeth Like God’s Shoeshine,"Oh, and you might || Oh, if you could compact your conscience"
332,Teeth Like God’s Shoeshine,"Oh, if you could compact your conscience || And sell it, save it for another time"
333,Teeth Like God’s Shoeshine,"And sell it, save it for another time || You know you might have to use it"
334,Teeth Like God’s Shoeshine,You know you might have to use it || And the television's on
335,Teeth Like God’s Shoeshine,"And the television's on || Go to the grocery store, buy some new friends"
336,Teeth Like God’s Shoeshine,"Go to the grocery store, buy some new friends || And find out the beginning, the end, and the best of it"
337,Teeth Like God’s Shoeshine,"And find out the beginning, the end, and the best of it || Well, do you need a lot of what you got to survive?"
338,Teeth Like God’s Shoeshine,"Well, do you need a lot of what you got to survive? || Here's the man with teeth like God's shoeshine"
339,Teeth Like God’s Shoeshine,"Here's the man with teeth like God's shoeshine || He sparkles, shimmers, shines"
340,Teeth Like God’s Shoeshine,"He sparkles, shimmers, shines || Let's all have another Orange Julius"
341,Teeth Like God’s Shoeshine,Let's all have another Orange Julius || Thick syrup standing in lines
342,Teeth Like God’s Shoeshine,Thick syrup standing in lines || The malls are the soon-to-be ghost towns
343,Teeth Like God’s Shoeshine,"The malls are the soon-to-be ghost towns || Well, so long, farewell, goodbye"
344,Teeth Like God’s Shoeshine,"Well, so long, farewell, goodbye || Take 'em all for the long ride"
345,Teeth Like God’s Shoeshine,Take 'em all for the long ride || And you'll go 'round town
346,Teeth Like God’s Shoeshine,And you'll go 'round town || No one wants to be uptight anymore
347,Teeth Like God’s Shoeshine,No one wants to be uptight anymore || You could be ashamed or be so proud of what you've done
348,Teeth Like God’s Shoeshine,"You could be ashamed or be so proud of what you've done || But not no one, not now, not ever or anyone"
349,Teeth Like God’s Shoeshine,"But not no one, not now, not ever or anyone || Take 'em all for the sad, sad happiness"
350,Teeth Like God’s Shoeshine,"Take 'em all for the sad, sad happiness || That comes from hurting deep down inside"
351,Teeth Like God’s Shoeshine,"That comes from hurting deep down inside || Or you could add it up and give a shit, give a shit"
352,Teeth Like God’s Shoeshine,"Or you could add it up and give a shit, give a shit || Go to the family doctor"
353,Teeth Like God’s Shoeshine,"Go to the family doctor || It's all worth it, all worth and it's"
354,Teeth Like God’s Shoeshine,"It's all worth it, all worth and it's || All, all wrong, and it's all, all gone"
355,Teeth Like God’s Shoeshine,"All, all wrong, and it's all, all gone || Or you could add it up and give a shit, give a shit"
356,Teeth Like God’s Shoeshine,"Or you could add it up and give a shit, give a shit || I'm on the corner of this and this and this and it's"
357,Teeth Like God’s Shoeshine,"I'm on the corner of this and this and this and it's || All, all wrong, and it's all, all wrong"
